,index,player,team,type,shot_outcome,shot_body_part,shot_type,location,shot_statsbomb_xg
1219,2874,Cristiano Ronaldo dos Santos Aveiro,Portugal,Shot,Off T,Right Foot,Open Play,"[103.0, 53.0]",0.06786557
1220,2875,Younès Belhanda,Morocco,Shot,Saved,Right Foot,Open Play,"[105.0, 57.0]",0.033848487
1221,2876,Younès Belhanda,Morocco,Shot,Saved,Head,Open Play,"[112.0, 50.0]",0.03286756
1222,2877,Medhi Amine El Mouttaqi Benatia,Morocco,Shot,Off T,Left Foot,Open Play,"[107.0, 42.0]",0.07808029
1223,2878,Mbark Boussoufa,Morocco,Shot,Wayward,Head,Open Play,"[113.0, 34.0]",0.06883541
1224,2879,Hakim Ziyech,Morocco,Shot,Off T,Left Foot,Free Kick,"[96.0, 54.0]",0.053389616
1225,2880,Cristiano Ronaldo dos Santos Aveiro,Portugal,Shot,Blocked,Right Foot,Open Play,"[93.0, 17.0]",0.01818466
1226,2881,Medhi Amine El Mouttaqi Benatia,Morocco,Shot,Off T,Other,Open Play,"[113.0, 47.0]",0.14291386
1227,2882,Nabil Dirar,Morocco,Shot,Off T,Right Foot,Open Play,"[86.0, 54.0]",0.009546082
1228,2883,Bruno Miguel Borges Fernandes,Portugal,Shot,Off T,Right Foot,Open Play,"[97.0, 52.0]",0.023208467
1229,2884,Cristiano Ronaldo dos Santos Aveiro,Portugal,Shot,Blocked,Right Foot,Free Kick,"[102.0, 31.0]",0.10440962
1230,2885,Hakim Ziyech,Morocco,Shot,Blocked,Left Foot,Open Play,"[112.0, 50.0]",0.106634915
1231,2886,Medhi Amine El Mouttaqi Benatia,Morocco,Shot,Off T,Left Foot,Open Play,"[111.0, 38.0]",0.06894785
1232,2887,Bruno Miguel Borges Fernandes,Portugal,Shot,Off T,Right Foot,Open Play,"[90.0, 21.0]",0.010987664
1233,2584,Emil Forsberg,Sweden,Shot,Saved,Right Foot,Free Kick,"[114.0, 17.0]",0.04733487
1234,2585,Miguel Arturo Layún Prado,Mexico,Shot,Off T,Left Foot,Open Play,"[92.0, 58.0]",0.012521504
1235,2586,Andreas Granqvist,Sweden,Shot,Wayward,Head,Open Play,"[112.0, 36.0]",0.047051627
1236,2587,Marcus Berg,Sweden,Shot,Off T,Right Foot,Open Play,"[116.0, 36.0]",0.19958206
1237,2588,Emil Forsberg,Sweden,Shot,Off T,Right Foot,Open Play,"[96.0, 56.0]",0.014451567
1238,2589,Carlos Alberto Vela Garrido,Mexico,Shot,Off T,Left Foot,Open Play,"[104.0, 46.0]",0.10052774
1239,2590,Emil Forsberg,Sweden,Shot,Off T,Right Foot,Open Play,"[110.0, 38.0]",0.14463916
1240,2591,Carlos Alberto Vela Garrido,Mexico,Shot,Blocked,Left Foot,Open Play,"[99.0, 63.0]",0.022580601
1241,2592,José Andrés Guardado Hernández,Mexico,Shot,Wayward,Head,Open Play,"[116.0, 40.0]",0.24305731
1242,2593,Héctor Miguel Herrera López,Mexico,Shot,Blocked,Right Foot,Open Play,"[117.0, 22.0]",0.017657088
1243,2594,José Andrés Guardado Hernández,Mexico,Shot,Off T,Left Foot,Open Play,"[93.0, 34.0]",0.022426067
1244,2595,Emil Forsberg,Sweden,Shot,Blocked,Right Foot,Open Play,"[101.0, 34.0]",0.08664918
1245,2596,Marcus Berg,Sweden,Shot,Saved,Right Foot,Open Play,"[115.0, 42.0]",0.33101508
1246,2597,Emil Forsberg,Sweden,Shot,Off T,Right Foot,Open Play,"[105.0, 30.0]",0.062747136
1247,2598,Hirving Rodrigo Lozano Bahena,Mexico,Shot,Blocked,Right Foot,Open Play,"[99.0, 28.0]",0.034652002
1248,2599,Carlos Alberto Vela Garrido,Mexico,Shot,Off T,Left Foot,Open Play,"[106.0, 54.0]",0.049177576
1249,2600,Carlos Joel Salcedo Hernández,Mexico,Shot,Blocked,Right Foot,Open Play,"[104.0, 28.0]",0.02102849
1250,2601,Miguel Arturo Layún Prado,Mexico,Shot,Saved,Right Foot,Open Play,"[105.0, 61.0]",0.018600535
1251,2602,Marcus Berg,Sweden,Shot,Off T,Left Foot,Open Play,"[109.0, 28.0]",0.16938257
1252,2603,Viktor Claesson,Sweden,Shot,Wayward,Right Foot,Open Play,"[109.0, 41.0]",0.27345926
1253,2604,Ludwig Augustinsson,Sweden,Shot,Goal,Left Foot,Open Play,"[116.0, 32.0]",0.2790069
1254,2605,Emil Forsberg,Sweden,Shot,Off T,Left Foot,Open Play,"[103.0, 36.0]",0.114753306
1255,2606,José Andrés Guardado Hernández,Mexico,Shot,Off T,Left Foot,Open Play,"[115.0, 19.0]",0.020634798
1256,2607,Ludwig Augustinsson,Sweden,Shot,Off T,Right Foot,Open Play,"[106.0, 25.0]",0.035911486
1257,2608,Marcus Berg,Sweden,Shot,Saved,Head,Open Play,"[108.0, 29.0]",0.015843851
1258,2609,Andreas Granqvist,Sweden,Shot,Goal,Right Foot,Penalty,"[109.0, 41.0]",0.76
1259,2610,Carlos Joel Salcedo Hernández,Mexico,Shot,Blocked,Right Foot,Open Play,"[80.0, 54.0]",0.010007644
1260,2611,Marco Jhonfai Fabián De La Mora,Mexico,Shot,Blocked,Right Foot,Open Play,"[90.0, 48.0]",0.018108571
1261,2612,Carlos Joel Salcedo Hernández,Mexico,Shot,Off T,Head,Open Play,"[111.0, 31.0]",0.017042058
1262,2613,Javier Hernández Balcázar,Mexico,Shot,Off T,Head,Open Play,"[106.0, 40.0]",0.037968118
1263,2614,Héctor Alfredo Moreno Herrera,Mexico,Shot,Blocked,Head,Open Play,"[111.0, 42.0]",0.06828808
1264,2615,Carlos Alberto Vela Garrido,Mexico,Shot,Blocked,Left Foot,Free Kick,"[96.0, 54.0]",0.043650974
1265,2616,Javier Hernández Balcázar,Mexico,Shot,Blocked,Right Foot,Open Play,"[116.0, 29.0]",0.0704245
1266,2617,Carlos Alberto Vela Garrido,Mexico,Shot,Off T,Head,Open Play,"[117.0, 42.0]",0.74679697
1267,2618,Hirving Rodrigo Lozano Bahena,Mexico,Shot,Off T,Right Foot,Open Play,"[98.0, 51.0]",0.030237112
1268,2619,Héctor Miguel Herrera López,Mexico,Shot,Saved,Left Foot,Open Play,"[91.0, 48.0]",0.030375455
1269,2620,Hirving Rodrigo Lozano Bahena,Mexico,Shot,Saved,Right Foot,Open Play,"[102.0, 21.0]",0.022628793
1270,2917,Cristiano Ronaldo dos Santos Aveiro,Portugal,Shot,Saved,Right Foot,Open Play,"[112.0, 27.0]",0.035294347
1271,2918,Vahid Amiri,Iran,Shot,Off T,Left Foot,Open Play,"[101.0, 29.0]",0.059441242
1272,2919,João Mário Naval da Costa Eduardo,Portugal,Shot,Off T,Right Foot,Open Play,"[102.0, 35.0]",0.14393309
